group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2000,0.003670594651661024,0.010398860421362077,-0.016710797254467655,0.0240519865577897,1,0.3529804712178488,0.7241030811131215
2008,2002,-9.277775068347849e-4,0.004150294302732292,-0.009062204865431852,0.007206649851762281,2,-0.22354499203200956,0.8231113703558242
2008,2004,0.0026245808598620206,0.0027408264054065443,-0.0027473401826111823,0.007996501902335224,3,0.9575874103827888,0.33827085001850543
2008,2006,0,NA,NA,NA,4,NA,NA
2008,2008,-0.07748456955530089,0.020056938909731124,-0.11679544745849393,-0.03817369165210784,5,-3.863230072347048,1.1189752704550812e-4
2008,2010,-0.07004397705709511,0.02057414174037941,-0.11036855388106098,-0.029719400233129252,6,-3.4044665357595334,6.629342252692459e-4
2008,2012,-0.06265531466845559,0.021101393222588114,-0.10401328540834587,-0.021297343928565304,7,-2.9692501346965954,0.0029852748340724452
2008,2014,-0.06127084531041203,0.02225101010121131,-0.10488202372842312,-0.01765966689240093,8,-2.7536208482992213,0.0058940005660259275
2008,2016,-0.04839026539422913,0.023165184386029637,-0.09379319248607682,-0.0029873383023814454,9,-2.0889220904890413,0.0367147369557319
2008,2018,-0.03217889787251949,0.024841304071090333,-0.08086695918086476,0.01650916343582577,10,-1.2953787683782858,0.1951895985863429
2010,2000,-0.014981963366382923,0.004732456076864692,-0.024257406835455436,-0.005706519897310412,11,-3.1657902626132035,0.0015466226743363232
2010,2002,-0.009565081089557562,0.004211736961520365,-0.017819933846493635,-0.0013102283326214895,12,-2.271053766402528,0.023143723327107783
2010,2004,-0.0029459847861002136,0.002311394440387048,-0.00747623464332494,0.0015842650711245126,13,-1.2745487029928575,0.202469023850249
2010,2006,-2.4513783479399487e-4,0.001535798357415727,-0.0032552473028445925,0.0027649716332566023,14,-0.15961589853923658,0.8731836543333702
2010,2008,0,NA,NA,NA,15,NA,NA
2010,2010,-0.109705636149704,0.004395259979257098,-0.11832018741173816,-0.10109108488766982,16,-24.959987956900523,1.663617052293302e-137
2010,2012,-0.09552619775747492,0.004652840631887909,-0.10464559782177982,-0.08640679769317003,17,-20.530726348715447,1.1445127180958755e-93
2010,2014,-0.08809747545512739,0.004791052154974111,-0.09748776512692967,-0.07870718578332511,18,-18.38791827045002,1.6416332246268374e-75
2010,2016,-0.07755487731842264,0.00491699854948999,-0.08719201738745871,-0.06791773724938657,19,-15.772808663217308,4.787267682269127e-56
2010,2018,-0.0595439291756813,0.005108694341012392,-0.06955678609208917,-0.049531072259273425,20,-11.655410404506888,2.153404008152258e-31
2012,2000,-0.030664732798029715,0.0022382377956144143,-0.03505159826627029,-0.026277867329789144,21,-13.70039093170259,1.0097915024829208e-42
2012,2002,-0.023071680810166275,0.0020186336470641563,-0.02702813005639276,-0.01911523156393979,22,-11.429355120341462,2.9831601838681338e-30
2012,2004,-0.012073873778637008,0.0013494211904533423,-0.014718690711900724,-0.009429056845373292,23,-8.947446404469721,3.638005137807344e-19
2012,2006,-0.007432960646843822,0.0010567983247537704,-0.009504247302283476,-0.005361673991404169,24,-7.033471261960669,2.0145748416632807e-12
2012,2008,-0.004266223798876922,3.78347674211608e-4,-0.005007771613966167,-0.0035246759837876764,25,-11.275935045105745,1.7253570045909623e-29
2012,2010,0,NA,NA,NA,26,NA,NA
2012,2012,-0.10537644395738005,0.0022238262414198398,-0.10973506329843802,-0.10101782461632208,27,-47.38519673645935,0
2012,2014,-0.0978471440486699,0.0020409601786610643,-0.10184735249272601,-0.09384693560461378,28,-47.94172128966317,0
2012,2016,-0.08607647936221831,0.0020291015123103367,-0.09005344524732233,-0.08209951347711429,29,-42.42098231162992,0
2012,2018,-0.06628248934501292,0.0021583726048640985,-0.07051282191576445,-0.06205215677426139,30,-30.70947490513872,4.25361673869898e-207
2014,2000,-0.008581425881148949,0.001885187543080641,-0.012276325569690556,-0.004886526192607342,31,-4.552027681620358,5.313134267691866e-6
2014,2002,-0.006122439630264638,0.00171877351429207,-0.009491173815858433,-0.0027537054446708418,32,-3.562097960757997,3.679030475894512e-4
2014,2004,-0.0029399992401982797,0.0015228741714775021,-0.005924777769280458,4.477928888389814e-5,33,-1.9305595270198022,0.05353754706647819
2014,2006,-0.0010290798873344293,0.001439585861026713,-0.0038506163275998694,0.001792456552931011,34,-0.7148443974022426,0.47470519785716214
2014,2008,-0.0027571544423103302,7.474660249261847e-4,-0.004222160930832971,-0.00129214795378769,35,-3.688668582070483,2.254306362753705e-4
2014,2010,-0.0013070211941156524,0.0010086764200669532,-0.003283990649501675,6.699482612703702e-4,36,-1.2957784757463606,0.19505181567112226
2014,2012,0,NA,NA,NA,37,NA,NA
2014,2014,-0.08478797773549135,0.002602388734278557,-0.0898885659284501,-0.0796873895425326,38,-32.58082722948636,7.6654253020646365e-233
2014,2016,-0.0711722603021761,0.002247758856377453,-0.07557778670660685,-0.06676673389774536,39,-31.663654711110414,4.919711276419534e-220
2014,2018,-0.05161016631242069,0.0025617672780441744,-0.05663113791416048,-0.046589194710680903,40,-20.146313349674514,2.89917463945038e-90
2016,2000,-0.014225159382479214,0.0013064202799224329,-0.01678569607979992,-0.011664622685158511,41,-10.888654746942397,1.3055444705645987e-27
2016,2002,-0.010689714189027411,0.0011505960201992483,-0.012944840949373058,-0.008434587428681764,42,-9.29058853095657,1.5343753041848972e-20
2016,2004,-0.005494509516488061,9.273375605007379e-4,-0.007312057736580741,-0.003676961296395382,43,-5.925037171492515,3.122267561777295e-9
2016,2006,-0.0035115868274470333,7.609559625172963e-4,-0.005003033107801945,-0.0020201405470921217,44,-4.614704398701936,3.936551923169611e-6
2016,2008,-0.004528495132786436,5.278913555531357e-4,-0.00556314317742061,-0.003493847088152262,45,-8.578460482728275,9.615133793702266e-18
2016,2010,-0.002403877936745078,3.944604693824461e-4,-0.0031770062500594367,-0.0016307496234307189,46,-6.094090848972794,1.1006114547055751e-9
2016,2012,-0.0021345495873509213,2.3437559785434024e-4,-0.0025939173180004713,-0.0016751818567013713,47,-9.107388341159567,8.43888776763587e-20
2016,2014,0,NA,NA,NA,48,NA,NA
2016,2016,-0.046121035484443323,0.0014812017792332078,-0.04902413762557706,-0.04321793334330959,49,-31.137577696078232,7.470910864102751e-213
2016,2018,-0.0495950903825274,0.00151081455545065,-0.052556232498529566,-0.046633948266525234,50,-32.82672264680031,2.447977026608328e-236
2018,2000,-0.007769720999469884,0.0013155733238328614,-0.010348197333203942,-0.005191244665735827,51,-5.905958154299728,3.5060296702611282e-9
2018,2002,-0.005684248248485671,0.0011648592644847586,-0.007967330453933615,-0.003401166043037727,52,-4.879772537157037,1.0620826283610506e-6
2018,2004,-0.002896451500145601,9.592925855507006e-4,-0.004776630418461283,-0.0010162725818299197,53,-3.0193619170764636,0.002533077331070024
2018,2006,-0.0016014668742491932,8.517831495740654e-4,-0.003270931170052455,6.799742155406854e-5,54,-1.8801344861658833,0.06008975150545393
2018,2008,-0.0023356936538101065,6.839871492851354e-4,-0.0036762838322971928,-9.9510347532302e-4,55,-3.414820960088565,6.382394906132078e-4
2018,2010,-0.0012247621908523095,5.935769756947016e-4,-0.002388151685266132,-6.137269643848747e-5,56,-2.0633586560848167,0.0390785649612885
2018,2012,-0.001379839876507416,4.060276035879592e-4,-0.002175639356268922,-5.840403967459102e-4,57,-3.398389331942296,6.778388103414038e-4
2018,2014,-2.4452591112066415e-4,3.295792557039856e-4,-8.904893823519929e-4,4.014375601106646e-4,58,-0.7419335619238341,0.4581275900850562
2018,2016,0,NA,NA,NA,59,NA,NA
2018,2018,-0.03789293777541137,0.0012700583127125819,-0.040382206326593735,-0.035403669224229,60,-29.83558896164373,1.3502574025351003e-195
